index_,title,discount_Price,value_Discount,sold,count_Review,sell_At,link_Item
1,[Sale 15.06] Điện Thoại OPPO A18 (4GB/128GB) - Hàng Chính Hãng,3.340.000 ₫,16%,156,64,Hồ Chí Minh,https://www.lazada.vn/products/sale-1506-dien-thoai-oppo-a18-4gb128gb-hang-chinh-hang-i2526461201.html
2,[Sale 15.06] Điện Thoại OPPO A58 (6GB/128GB) - Hàng Chính Hãng,4.690.000 ₫,6%,603,117,Hồ Chí Minh,https://www.lazada.vn/products/sale-1506-dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html
3,SIÊU KHUYỄN MÃI - [VOUCHER] Nhận Ngay lPhone 15 Promax 512 Gb TiTan - Số lương SALE siêu khủng,29.000 ₫,18%,70,39,Hồ Chí Minh,https://www.lazada.vn/products/sieu-khuyen-mai-voucher-nhan-ngay-lphone-15-promax-512-gb-titan-so-luong-sale-sieu-khung-i2663530996.html
4,"Điện thoại thông minh POCO C65 | 6.74"" HD+ 90Hz | Helio G85 | 5000mAh",2.520.000 ₫,14%,12.8K,2352,Hồ Chí Minh,https://www.lazada.vn/products/dien-thoai-thong-minh-poco-c65-674-hd-90hz-helio-g85-5000mah-i2438761122.html
5,iPhone 15 Plus - Hàng Chính Hãng VN/A,22.390.000 ₫,15%,745,156,Hồ Chí Minh,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
6,[ E - VOUCHER STICKER ] Nhận ưu đãi lPhone 14 Promax 512Gb . Siêu Bão khuyến mãi G SL có hạn,29.000 ₫,42%,40,30,Hồ Chí Minh,https://www.lazada.vn/products/e-voucher-sticker-nhan-uu-dai-lphone-14-promax-512gb-sieu-bao-khuyen-mai-g-sl-co-han-i2661491718.html
7,iPhone 15 Pro Max - Hàng Chính Hãng VN/A,29.590.000 ₫,42%,12.3K,2886,Hồ Chí Minh,https://www.lazada.vn/products/iphone-15-pro-max-hang-chinh-hang-vna-i2417233670.html
8,[BIG SALE HÀNG MỚI VỀ] lPHONE 14 PROMAX 512GB - NHẬN NGAY ĐIỆN THOẠI GIÁ RẺ ( E-VOUCHER),29.000 ₫,14%,127,58,Hồ Chí Minh,https://www.lazada.vn/products/big-sale-hang-moi-ve-lphone-14-promax-512gb-nhan-ngay-dien-thoai-gia-re-e-voucher-i2664109363.html
9,( E- Voucher ) Sở Hữu I.phone 15 Plus 512Gb - Màu Ngẫu Nhiên - Full Box - vòng 5 - VN30052024 ( Đọc mô tả sản phẩm),29.000 ₫,26%,326,146,Hồ Chí Minh,https://www.lazada.vn/products/e-voucher-so-huu-iphone-15-plus-512gb-mau-ngau-nhien-full-box-vong-5-vn30052024-doc-mo-ta-san-pham-i2657915073.html
10,iPhone 15 Pro - Hàng Chính Hãng VN/A,24.890.000 ₫,13%,1.8K,357,Hồ Chí Minh,https://www.lazada.vn/products/iphone-15-pro-hang-chinh-hang-vna-i2417249565.html
11,Điện thoại Samsung Galaxy A15 8GB/128GB - Bảo hành 12 tháng,4.086.000 ₫,17%,,,Hồ Chí Minh,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-a15-8gb128gb-bao-hanh-12-thang-i2522572727.html
12,[Trả góp 0%] Apple iPhone 15 Pro 128GB Chính hãng VN/A [Viettel Store],25.590.000 ₫,20%,16,,Hà Nội,https://www.lazada.vn/products/tra-gop-0-apple-iphone-15-pro-128gb-chinh-hang-vna-viettel-store-i2416602219.html
13,iPhone 15 - Hàng Chính Hãng VN/A,19.190.000 ₫,15%,,259,Hồ Chí Minh,https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html
14,Điện thoại Tecno POVA 5 (8+8)/128GB - MediaTek G99 - Sạc nhanh 45W - 6.8'' FHD+ Tần số quét 120HHZ - Hàng Chính Hãng - Bảo hành 13 Tháng,3.600.500 ₫,34%,1.1K,570,Hồ Chí Minh,https://www.lazada.vn/products/dien-thoai-tecno-pova-5-88128gb-mediatek-g99-sac-nhanh-45w-68-fhd-tan-so-quet-120hhz-hang-chinh-hang-bao-hanh-13-thang-i2348140185.html
15,[Trả góp 0%] Apple iPhone 15 Plus 128GB Chính hãng VN/A [Viettel Store],22.890.000 ₫,31%,1.2K,,Hà Nội,https://www.lazada.vn/products/tra-gop-0-apple-iphone-15-plus-128gb-chinh-hang-vna-viettel-store-i2416386842.html
16,iPhone 14 - Hàng Chính Hãng VN/A,16.490.000 ₫,15%,8,126,Hồ Chí Minh,https://www.lazada.vn/products/iphone-14-hang-chinh-hang-vna-i2018265056.html
17,iPhone 14 Plus - Hàng Chính Hãng VN/A,19.390.000 ₫,19%,,51,Hồ Chí Minh,https://www.lazada.vn/products/iphone-14-plus-hang-chinh-hang-vna-i2017749016.html
18,Apple iPhone 15 Pro 128GB Chính hãng (VN/A),25.580.000 ₫,42%,977,9,Hồ Chí Minh,https://www.lazada.vn/products/apple-iphone-15-pro-128gb-chinh-hang-vna-i2416951787.html
19,Apple iPhone 15 Plus 128GB Chính hãng (VN/A),22.800.000 ₫,15%,364,21,Hồ Chí Minh,https://www.lazada.vn/products/apple-iphone-15-plus-128gb-chinh-hang-vna-i2417162029.html
20,SIÊU KHỦNG lPHONE 15 PROMAX 256 GB FULL BOX VOUCHER QUẦ TẶNG GIÁ RẺ 1K,29.000 ₫,17%,81,103,Hồ Chí Minh,https://www.lazada.vn/products/sieu-khung-lphone-15-promax-256-gb-full-box-voucher-qua-tang-gia-re-1k-i2660463996.html
21,"Điện Thoại ZTE Blade V40 (6+4)GB/128GB - Pin 5000mAh - 6.67""FHD+ - Hàng Chính Hãng",2.290.000 ₫,13%,73,5,Hồ Chí Minh,https://www.lazada.vn/products/dien-thoai-zte-blade-v40-64gb128gb-pin-5000mah-667fhd-hang-chinh-hang-i2621627169.html
22,"Điện thoại Samsung Galaxy A15 LTE (8GB/128GB) - Hàng chính hãng - Màn hình: Super AMOLED 6.5"", độ phân giải cao, hiệu năng ổn định",4.159.000 ₫,52%,213,4,Bến Tre,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-a15-lte-8gb128gb-hang-chinh-hang-man-hinh-super-amoled-65-do-phan-giai-cao-hieu-nang-on-dinh-i2520119740.html
23,"Sim Vietnamobile 2023 Hạn 1Tháng - Tạo Tài Khoản ZL,SP,FB,MMO,GAME (Không 4G)",14.500 ₫,13%,14,180,Hồ Chí Minh,https://www.lazada.vn/products/sim-vietnamobile-2023-han-1thang-tao-tai-khoan-zlspfbmmogame-khong-4g-i2161322278.html
24,Apple iPhone 15 Pro 256GB Chính hãng (VN/A),28.540.000 ₫,17%,23,,Hồ Chí Minh,https://www.lazada.vn/products/apple-iphone-15-pro-256gb-chinh-hang-vna-i2417082334.html
25,Điện thoại Samsung Galaxy S22 8GB+128GB chính hãng - Điện thoại AI - Galaxy AI - Độc quyền LAZADA,10.490.000 ₫,42%,2.4K,48,Hồ Chí Minh,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-8gb128gb-chinh-hang-dien-thoai-ai-galaxy-ai-doc-quyen-lazada-i1714314288.html
26,Điện thoại Samsung Galaxy A05s - 2 SIM - 128 GB 4 GB,3.480.000 ₫,15%,50,,Hà Nội,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-a05s-2-sim-128-gb-4-gb-i2538893955.html
27,Oppo_ reno11_Pro_+ máy mới 100% đầy đủ phụ kiện kèm theo,1.750.000 ₫,42%,,,Hồ Chí Minh,https://www.lazada.vn/products/oppo_-reno11_pro_-may-moi-100-day-du-phu-kien-kem-theo-i2663824665.html
28,"Điện thoại OPPO Reno11 F 5G Ram 8GB | 256GB Chính Hãng, Màn hình 6.7"" 120Hz | Mediatek Dimensity 7050 - BH 12 tháng",7.850.000 ₫,27%,258,,Hồ Chí Minh,https://www.lazada.vn/products/dien-thoai-oppo-reno11-f-5g-ram-8gb-256gb-chinh-hang-man-hinh-67-120hz-mediatek-dimensity-7050-bh-12-thang-i2638583964.html
29,[DEAL HOT - VOUCHER] -NHẬN NGAY l.PHONE 13 PROMAX - 512GB - QUÀ TẶNG VNM65215154574,29.000 ₫,42%,,57,Hồ Chí Minh,https://www.lazada.vn/products/deal-hot-voucher-nhan-ngay-lphone-13-promax-512gb-qua-tang-vnm65215154574-i2660653627.html
30,Điện Thoại Xiaomi Redmi Note 13 (6+128GB) - Hàng chính hãng,4.180.000 ₫,17%,,144,Hồ Chí Minh,https://www.lazada.vn/products/dien-thoai-xiaomi-redmi-note-13-6128gb-hang-chinh-hang-i2547853181.html
31,[SIÊU SALE] E -VOUCHER lPHONE 14 PROMAX 512GB - Quà Tặng Phụ Kiện Điện Thoại Full Box - ĐỌC KỸ MÔ TẢ SẢN PHẨM,29.000 ₫,53%,,41,Hồ Chí Minh,https://www.lazada.vn/products/sieu-sale-e-voucher-lphone-14-promax-512gb-qua-tang-phu-kien-dien-thoai-full-box-doc-ky-mo-ta-san-pham-i2658601155.html
32,[TẶNG Watch6 + Powerbank - KIỂM TRA GIỎ HÀNG] Điện thoại Samsung Galaxy Z Flip5 - Điện thoại AI - Bản lề Flex gập không kẽ hở - Flex Cam đa góc độ,21.990.000 ₫,50%,114,532,Hồ Chí Minh,https://www.lazada.vn/products/tang-watch6-powerbank-kiem-tra-gio-hang-dien-thoai-samsung-galaxy-z-flip5-dien-thoai-ai-ban-le-flex-gap-khong-ke-ho-flex-cam-da-goc-do-i2351112090.html
33,[BIG SALE-VOUCHER] - lPHONE 15 PLUS - 512GB - QUÀ TẶNG,29.000 ₫,31%,460,34,Hồ Chí Minh,https://www.lazada.vn/products/big-sale-voucher-lphone-15-plus-512gb-qua-tang-i2660832407.html
34,Apple iPhone 15 Plus 256GB Chính hãng (VN/A),25.740.000 ₫,30%,81,,Hồ Chí Minh,https://www.lazada.vn/products/apple-iphone-15-plus-256gb-chinh-hang-vna-i2417065352.html
35,điện thoại 0 đồng，S23 Ultra Giá cả phải chăng Điện thoại Full HD 7.3inch 8+256GB Điện thoại Android Máy ảnh Pin 6800MAh Cuộc gọi Chơi trò chơi Xem TV Điện thoại thông minh,1.100.930 ₫,7%,2.7K,3,Hà Nội,https://www.lazada.vn/products/dien-thoai-0-dongs23-ultra-gia-ca-phai-chang-dien-thoai-full-hd-73inch-8256gb-dien-thoai-android-may-anh-pin-6800mah-cuoc-goi-choi-tro-choi-xem-tv-dien-thoai-thong-minh-i2239406707.html
